Importance,Feature
0.022816265218670043,russian
0.01892270684282498,kramer
0.017577724791124027,folklore
0.014593281299497808,swiss
0.010406703867056385,price
0.009236761513669518,constance
0.008845205219491102,reject
0.0072161934691916205,delivery
0.006720696651586906,traditional
0.006447501124954756,sorry
0.006407076888151236,willing
0.005883723889792876,meyer
0.005632592736076414,week
0.0056174457346650115,offer
0.005590273828682821,students
0.005571865489127157,final
0.005460315956227444,vaccine
0.005276802531154543,best
0.004939359432100669,already
0.004931254156183272,chris
0.004759537587859446,issues
0.0047000241617716956,alex
0.004653496885984016,ltd
0.004504053346850257,cuisine
0.004364780931494172,conditions
0.004188938505904183,international
0.004099416592514287,future
0.004065496728086292,regards
0.0039016985151931203,years
0.0037865548035364996,city
0.0037413741121881693,could
0.003736387803739417,like
0.003637279221810703,hope
0.0036319911153832422,holidays
0.0036209945178396624,four
0.0035967594044723308,kind
0.003578933053762741,would
0.0035647674702649684,understand
0.0035095760298655835,another
0.003459007135018198,agreement
0.0034259123591276453,intentions
0.003400893789148719,months
0.0033947518814545505,opening
0.003369659231330575,think
0.003327075945292258,sponsor
0.003245601124667588,see
0.0032292243687469116,way
0.003215191701618484,thank
0.0032143761641080814,agree
0.0031709885975777707,us
